Model,Time,test_Precision@3,test_Precision@3_%
NNM_BM25Recomender_Optuna_light_count,8.314192295074463,0.1315668510253406,13.15668510253406
NNM_BM25Recomender_Optuna_best_light_count,8.765186071395874,0.1312702955175635,13.12702955175635
NNM_BM25Recomender_Optuna_best_light_weight,10.21669888496399,0.128880110337312,12.8880110337312
NNM_BM25Recomender_Optuna_light_weight,5.504284858703613,0.1283692894481431,12.83692894481431
NNM_BM25Recomender_light_count,4.872090101242065,0.1256209130944084,12.56209130944084
NNM_BM25Recomender_light_weight,3.7136077880859375,0.1208772497403327,12.08772497403327
MF_ALS_Optuna_light_count,52.81727194786072,0.1032902833587876,10.329028335878759
MF_ALS_Optuna_light_weight,53.55562496185303,0.0958640535340291,9.58640535340291
MF_ALS_light_count,21.64993786811829,0.0845776308180483,8.45776308180483
NMSLibModel_Optuna_light_count,62.47001194953919,0.0829762310760516,8.29762310760516
NMSLibModel_light_count,62.616689920425415,0.0829020921991073,8.29020921991073
NMSLibModel_light_weight,64.92105603218079,0.0787174990209266,7.8717499020926605
MF_ALS_light_weight,22.945766925811768,0.0786323622060651,7.8632362206065105
NMSLibModel_Optuna_light_weight,58.098947048187256,0.0781555960428408,7.815559604284079
NNM_ItemItemRecomender_Optuna_light_count,5.474812030792236,0.0729971382393499,7.29971382393499
NNM_ItemItemRecomender_light_count,4.798686981201172,0.07130677184502,7.130677184502001
MF_ALS_Optuna_best_light_dependent,274.33638882637024,0.06684103458297,6.684103458297
NNM_ItemItemRecomender_Optuna_light_weight,3.8710317611694336,0.0648912802874218,6.48912802874218
NNM_ItemItemRecomender_light_weight,4.023543119430542,0.0640058574128624,6.40058574128624
MF_BPR_Optuna_light_weight,23.88634490966797,0.061741218137547,6.1741218137547005
MF_BPR_Optuna_light_count,22.19929075241089,0.0606900846665974,6.06900846665974
MF_ALS_Optuna_light_dependent,38.71024680137634,0.0551438535309503,5.5143853530950295
NNM_BM25Recomender_Optuna_best_light_expert,5.13689398765564,0.0537893384714193,5.37893384714193
NNM_CosinRecomender_Optuna_light_count,5.049159049987793,0.0523865304488367,5.2386530448836695
NNM_BM25Recomender_Optuna_light_expert,1.7924628257751465,0.0520231213872832,5.2023121387283195
MF_BPR_Optuna_light_expert,12.523261308670044,0.0520231213872832,5.2023121387283195
NNM_CosinRecomender_light_count,4.8543860912323,0.0511558250915615,5.11558250915615
MF_BPR_Optuna_light_dependent,12.3526508808136,0.0501307759372275,5.01307759372275
NNM_BM25Recomender_Optuna_light_dependent,4.945629119873047,0.048241790177274,4.8241790177274
NNM_BM25Recomender_Optuna_best_light_dependent,4.377366065979004,0.047660563789596,4.7660563789596
NNM_BM25Recomender_light_expert,1.579714059829712,0.0451188182402055,4.51188182402055
NNM_ItemItemRecomender_Optuna_light_expert,1.3764550685882568,0.0449582530507386,4.4958253050738595
NNM_ItemItemRecomender_light_expert,1.741610050201416,0.0447976878612716,4.47976878612716
NNM_CosinRecomender_Optuna_light_weight,4.563305139541626,0.0437432954758296,4.37432954758296
NNM_ItemItemRecomender_Optuna_light_dependent,2.1326141357421875,0.0432287125835512,4.3228712583551205
NNM_ItemItemRecomender_light_dependent,1.917336225509644,0.0431560592850915,4.31560592850915
NNM_CosinRecomender_light_weight,4.215344905853272,0.0430622009569378,4.30622009569378
MF_ALS_Optuna_light_expert,38.41741800308228,0.0417469492614001,4.17469492614001
NNM_BM25Recomender_light_dependent,2.038344144821167,0.038651554780587,3.8651554780587003
NMSLibModel_light_dependent,61.801613092422485,0.0347282766637605,3.47282766637605
NNM_CosinRecomender_Optuna_light_dependent,2.262893915176392,0.034582970066841,3.4582970066841003
NNM_CosinRecomender_light_dependent,1.945312738418579,0.0341470502760825,3.4147050276082505
NMSLibModel_Optuna_light_dependent,54.01155400276184,0.0335658238884045,3.3565823888404496
MF_BPR_light_expert,8.572355031967163,0.0308285163776493,3.08285163776493
MF_ALS_light_dependent,14.8831307888031,0.0294972391746585,2.94972391746585
NMSLibModel_Optuna_light_expert,51.46721577644348,0.02922286448298,2.922286448298
MF_ALS_light_expert,12.60719108581543,0.0279383429672447,2.79383429672447
MF_BPR_light_dependent,9.516719102859495,0.0270996803254867,2.70996803254867
MF_BPR_light_weight,22.830981016159058,0.0257624001770845,2.57624001770845
MF_BPR_light_count,25.006213188171387,0.0247030737978381,2.47030737978381
NMSLibModel_light_expert,56.79007005691528,0.0236030828516377,2.36030828516377
MF_LMF_light_expert,9.270750045776367,0.0162170841361592,1.62170841361592
NNM_CosinRecomender_Optuna_light_expert,1.8847029209136963,0.0133269107257546,1.33269107257546
NNM_CosinRecomender_light_expert,2.369277238845825,0.0110789980732177,1.10789980732177
MF_LMF_light_weight,20.45342803001404,0.0068620272778354,0.6862027277835401
MF_LMF_light_count,15.123543739318848,0.0041666048842692,0.41666048842692005
MF_LMF_light_dependent,9.865481853485107,0.000871839581517,0.0871839581517
MF_LMF_Optuna_light_count,45.25530600547791,0.0003706943847214,0.03706943847214
MF_LMF_Optuna_light_expert,64.1726450920105,0.0001605651894669,0.01605651894669
MF_LMF_Optuna_light_dependent,140.88749384880066,0.0001453065969195,0.014530659691949999
MF_LMF_Optuna_light_weight,87.7907030582428,0.0001362189037783,0.01362189037783
