index,Model,Time,train_Precision@3,test_Precision@3
0,KNNBasic_user_light_expert,796.250339,0.024428,0.005776
1,KNNWithMeans_user_light_expert,837.029769,0.04198,0.013664
2,KNNWithZScore_user_light_expert,814.260439,0.042173,0.013925
3,KNNBaseline_user_light_expert,846.282341,0.027846,0.007136
4,KNNBasic_item_light_expert,1093.860694,0.029315,0.012966
5,KNNWithMeans_item_light_expert,1072.087077,0.041417,0.014409
6,KNNWithZScore_item_light_expert,1188.78567,0.043103,0.01491
0,KNNBasic_user_light_count,599.442568063736,0.2871071147525806,0.0122419258117022
1,KNNWithMeans_user_light_count,583.7930221557617,0.2960352728787664,0.0189368628458836
2,KNNWithZScore_user_light_count,564.6670939922333,0.3008031291950183,0.0209243553499528
3,KNNBaseline_user_light_count,575.2906401157379,0.2955087256399574,0.0147048744967017
4,KNNWithZScore_Optuna_user_light_count,555.6441390514374,0.2209704670647595,0.0126831148804934
5,KNNBasic_item_light_count,900.7033457756042,0.300791556728232,0.0131714212284759
6,KNNWithMeans_item_light_count,879.9138128757477,0.3280823265287227,0.0184656900539707
7,KNNWithZScore_item_light_count,863.7454681396484,0.3282154098967733,0.019313801079414
8,KNNBaseline_item_light_count,868.1523680686951,0.3162581585890847,0.0164524972157971
9,SVD_light_count,456.91711688041687,0.0643168772855621,0.0046260601387818
10,SVDpp_light_count,501.9782259464264,0.1659376012590767,0.1164567806048148
11,NMF_light_count,429.1098947525024,0.3574329954173024,0.022483508952283
12,SVDpp_Optuna_light_count,1153.9418568611145,0.0307885478868675,0.0056583568919729
0,KNNBasic_user_light_weight,627.3429708480835,0.3712823450446698,0.0273323053199691
1,KNNWithMeans_user_light_weight,648.7136359214783,0.3539815071980731,0.0443544932750792
2,KNNWithZScore_user_light_weight,710.7024838924408,0.3583038235430246,0.0435663496958793
3,KNNBaseline_user_light_weight,626.6494107246399,0.3744329491274358,0.0338216396813158
4,KNNBasic_item_light_weight,948.4653680324554,0.3801092440864694,0.0314614923327336
5,KNNWithMeans_item_light_weight,879.8083071708679,0.3993542563532837,0.0444572946114966
6,KNNWithZScore_item_light_weight,912.9941318035126,0.3986743739295464,0.0421185642080013
7,KNNBaseline_item_light_weight,941.3043129444122,0.3923876313474978,0.0382635140923498
8,SVD_light_weight,594.240119934082,0.1718482386705551,0.0160412918701276
9,SVDpp_light_weight,554.6010482311249,0.2017601721983024,0.1492032896427658
10,NMF_light_weight,488.226793050766,0.4233439800027768,0.0451726205774008
11,SVDpp_best_light_weight,963.8344469070436,0.2130433273156495,0.1492504069219571
0,KNNBasic_user_light_dependent,646.3434760570526,0.006578947368421,5.140066820868672e-05
1,KNNWithMeans_user_light_dependent,648.8901090621948,0.0079560709160764,0.0003212541763042
2,KNNWithZScore_user_light_dependent,683.6185231208801,0.0080515437670693,0.0004883063479825
3,KNNBaseline_user_light_dependent,689.5555000305176,0.0066483821691431,5.140066820868672e-05
4,KNNBasic_item_light_dependent,959.128298997879,0.0081990927186038,0.0003598046774608
5,KNNWithMeans_item_light_dependent,987.9282417297364,0.0085694116557885,0.0002655701190782
6,KNNWithZScore_item_light_dependent,990.2802171707152,0.0091451418784428,0.000175618949713
7,KNNBaseline_item_light_dependent,1139.7707958221436,0.0082772068694162,0.0003469545104086
8,SVD_light_dependent,457.6757318973541,0.0001909457019858,0.0
9,SVDpp_light_dependent,602.2095170021057,0.0001562283016247,0.0
10,NMF_light_dependent,543.9857270717621,0.0097816275517289,0.0002484365630086
